,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,dayofweek,is_holiday
11062,15,2013-07-14,89,65,77, 7,68,71,0,12,0419,1925,"FG,BR",0.0,0.00,29.88,30.25, 1.4,30,3.0,Sun,holiday
11063,16,2013-07-14,90,68,79,M,70,72,0,14,-,-,"FG,BR",M,0.00,30.13,30.23, 0.3,23,3.7,Sun,holiday
11064,17,2013-07-14,89,69,79,M,64,69,0,14,-,-,MO,0.0,0.01,29.32,30.00, 1.6,17,2.8,Sun,holiday
11065,18,2013-07-14,83,72,78,-9,65,69,0,13,0529,1937,"RA,BR",0.0,0.27,29.44,29.94, 1.7,04,5.5,Sun,holiday
11066,19,2013-07-14,84,66,75, 3,66,70,0,10,0425,1930,MO,0.0,0.00,29.47,30.20, 4.5,12,4.7,Sun,holiday
11067,20,2013-07-14,80,69,75,M,66,68,0,10,-,-,"RA,BR",0.0,0.37,29.24,29.94, 1.5,03,4.2,Sun,holiday
11068,1,2013-07-15,91,71,81,M,69,73,0,16,-,-,MO,M,0.00,30.01,30.16, 1.8,31,2.5,Mon,holiday
11069,2,2013-07-15,88,71,80, 9,68,72,0,15,0424,1923,MO,0.0,0.00,29.12,30.19, 7.7,31,8.3,Mon,holiday
11070,3,2013-07-15,83,66,75,-9,65,68,0,10,0518,1941,"RA,BR",0.0,0.35,29.38,30.08, 1.9,17,8.3,Mon,holiday
11071,4,2013-07-15,78,70,74,-11,70,71,0, 9,0539,1935,"RA,BR",0.0,0.51,29.29,29.96, 0.6,03,3.5,Mon,holiday
11072,5,2013-07-15,M,M,M,M,M,M,M,M,0421,1920,MO,M,M,M,M,M,M,M,Mon,holiday
11073,6,2013-07-15,83,71,77,-6,71,72,0,12,0539,1934,AN,0.0,0.31,29.45,29.94, 5.9,07,7.1,Mon,holiday
11074,7,2013-07-15,77,64,71,M,63,65,0, 6,-,-,AN,0.0,1.19,28.72,30.06, 3.6,11,7.9,Mon,holiday
11075,8,2013-07-15,90,73,82,M,74,75,0,17,-,-,AN,M,0.84,29.60,M, 3.6,11,4.2,Mon,holiday
11076,9,2013-07-15,88,68,78,M,67,71,0,13,-,-,BR,M,0.00,29.44,30.18, 5.2,16,5.5,Mon,holiday
11077,10,2013-07-15,87,76,82,M,74,76,0,17,0535,1930,"TS,RA,BR",M,0.15,30.10,30.13, 8.9,07,10.3,Mon,holiday
11078,11,2013-07-15,87,71,79,-3,73,75,0,14,0535,1931,"RA,BR",0.0,0.20,30.10,30.15, 7.8,08,9.1,Mon,holiday
11079,12,2013-07-15,88,73,81,M,73,76,0,16,-,-,MO,0.0,0.14,30.09,30.14, 7.5,09,8.1,Mon,holiday
11080,13,2013-07-15,75,60,68,M,55,60,0, 3,-,-,"TS,RA",M,0.02,24.39,30.06, 9.5,17,9.8,Mon,holiday
11081,14,2013-07-15,78,65,72,-10,64,66,0, 7,0527,1946,"RA,BR",0.0,1.53,28.71,30.05, 3.8,09,8.8,Mon,holiday
11082,15,2013-07-15,93,65,79, 9,67,71,0,14,0420,1924,MO,0.0,0.00,29.79,30.16, 3.7,30,4.0,Mon,holiday
11083,16,2013-07-15,88,70,79,M,69,72,0,14,-,-,MO,M,  T,30.03,30.12, 0.7,16,2.9,Mon,holiday
11084,17,2013-07-15,79,65,72,M,66,68,0, 7,-,-,"RA,BR,TS",0.0,0.46,29.44,30.12, 2.2,15,4.4,Mon,holiday
11085,18,2013-07-15,75,68,72,-15,68,70,0, 7,0530,1937,"RA,BR,HZ",0.0,0.82,29.52,30.02, 2.9,10,4.2,Mon,holiday
11086,19,2013-07-15,85,71,78, 6,71,73,0,13,0426,1929,BR,0.0,0.00,29.51,30.25, 3.6,10,4.5,Mon,holiday
11087,20,2013-07-15,75,67,71,M,68,69,0, 6,-,-,"RA,BR",0.0,0.85,29.33,30.02, 4.5,10,5.2,Mon,holiday
11088,1,2013-07-16,93,70,82,M,66,71,0,17,-,-,MO,M,0.00,29.98,30.15, 1.5,34,3.1,Tue,holiday
11089,2,2013-07-16,90,72,81,10,64,70,0,16,0425,1922,MO,0.0,0.00,29.09,30.17, 6.8,35,7.4,Tue,holiday
11090,3,2013-07-16,91,71,81,-3,68,72,0,16,0518,1941,"RA,BR",0.0,0.06,29.47,30.17, 4.5,11,5.4,Tue,holiday
11091,4,2013-07-16,94,72,83,-2,70,73,0,18,0540,1934,AN,0.0,0.00,29.38,30.04, 1.9,11,4.7,Tue,holiday
11092,5,2013-07-16,M,M,M,M,M,M,M,M,0422,1919,MO,M,M,M,M,M,M,M,Tue,holiday
11093,6,2013-07-16,95,71,83,-1,70,73,0,18,0540,1934,MO,0.0,0.00,29.54,30.03, 6.6,10,8.2,Tue,holiday
11094,7,2013-07-16,87,68,78,M,M,M,0,13,-,-,"RA,BR",0.0,0.59,28.82,M,M,M,8.3,Tue,holiday
11095,8,2013-07-16,93,76,85,M,73,76,0,20,-,-,AN,M,0.01,29.70,M, 4.5,11,5.0,Tue,holiday
11096,9,2013-07-16,91,73,82,M,70,74,0,17,-,-,BR,M,0.00,29.43,30.18, 6.5,21,7.6,Tue,holiday
11097,10,2013-07-16,88,77,83,M,73,76,0,18,0536,1930,MO,M,  T,30.16,30.18, 9.8,07,10.1,Tue,holiday
11098,11,2013-07-16,87,74,81,-1,74,76,0,16,0535,1930,AN,0.0,0.00,30.16,30.20, 7.4,07,7.8,Tue,holiday
11099,12,2013-07-16,88,78,83,M,73,76,0,18,-,-,MO,0.0,0.00,30.14,30.19, 7.5,08,7.8,Tue,holiday
11100,13,2013-07-16,80,55,68,M,48,56,0, 3,-,-,MO,M,0.00,24.40,30.07,13.5,16,14.1,Tue,holiday
11101,14,2013-07-16,88,70,79,-3,68,71,0,14,0527,1946,"RA,BR",0.0,0.91,28.82,30.16, 7.3,12,8.1,Tue,holiday
11102,15,2013-07-16,92,64,78, 8,67,71,0,13,0421,1924,MO,0.0,0.00,29.77,30.14, 4.1,32,4.5,Tue,holiday
11103,16,2013-07-16,92,68,80,M,67,71,0,15,-,-,MO,M,0.00,30.00,30.11, 1.1,31,4.1,Tue,holiday
11104,17,2013-07-16,91,69,80,M,69,72,0,15,-,-,"RA,BR",0.0,0.03,29.53,30.21, 4.1,12,4.5,Tue,holiday
11105,18,2013-07-16,91,73,82,-5,70,73,0,17,0531,1936,"RA,BR",0.0,0.68,29.62,30.11, 6.5,11,6.9,Tue,holiday
11106,19,2013-07-16,93,75,84,12,73,76,0,19,0427,1928,BR,0.0,0.00,29.51,30.24, 6.1,22,6.8,Tue,holiday
11107,20,2013-07-16,90,71,81,M,70,73,0,16,-,-,"RA,BR",0.0,0.16,29.42,30.10, 6.5,10,7.0,Tue,holiday
11108,1,2013-07-17,94,71,83,M,68,73,0,18,-,-,MO,M,0.00,29.96,30.10, 4.2,23,4.5,Wed,holiday
11109,2,2013-07-17,90,72,81,10,67,72,0,16,0426,1922,MO,0.0,0.00,29.08,30.13, 6.2,26,7.4,Wed,holiday
11110,3,2013-07-17,95,72,84, 0,68,73,0,19,0519,1940,MO,0.0,0.00,29.49,30.20, 4.9,14,6.2,Wed,holiday
11111,4,2013-07-17,92,73,83,-2,71,73,0,18,0540,1934,"RA,BR",0.0,1.50,29.45,30.12, 1.3,11,2.4,Wed,holiday
11112,5,2013-07-17,M,M,M,M,M,M,M,M,0423,1918,MO,M,M,M,M,M,M,M,Wed,holiday
11113,6,2013-07-17,92,72,82,-2,71,73,0,17,0540,1933,"RA,BR",0.0,0.65,29.60,30.11, 4.6,09,6.2,Wed,holiday
11114,7,2013-07-17,M,M,M,M,68,M,M,M,-,-,"RA,BR,TS",M,0.18,28.84,M, 3.3,12,5.5,Wed,holiday
11115,8,2013-07-17,93,76,85,M,74,76,0,20,-,-,AN,M,0.78,29.77,M, 2.3,10,3.1,Wed,holiday
11116,9,2013-07-17,92,74,83,M,70,74,0,18,-,-,MO,M,0.00,29.41,30.17, 4.8,22,5.8,Wed,holiday
11117,10,2013-07-17,89,78,84,M,72,75,0,19,0536,1929,MO,M,0.00,30.14,30.16, 8.0,08,9.0,Wed,holiday
11118,11,2013-07-17,88,72,80,-2,72,75,0,15,0536,1930,MO,0.0,0.00,30.14,30.17, 4.9,08,5.7,Wed,holiday
11119,12,2013-07-17,89,75,82,M,73,76,0,17,-,-,MO,0.0,  T,30.13,30.17, 5.0,08,5.5,Wed,holiday
11120,13,2013-07-17,86,58,72,M,49,59,0, 7,-,-,MO,M,0.00,24.40,30.05,15.1,17,15.3,Wed,holiday
11121,14,2013-07-17,89,71,80,-2,70,73,0,15,0528,1945,"TS,TS,RA",0.0,0.18,28.85,30.20, 3.8,12,5.1,Wed,holiday
11122,15,2013-07-17,94,66,80,10,68,72,0,15,0421,1923,BR,0.0,0.00,29.73,30.09, 2.7,24,3.6,Wed,holiday
11123,16,2013-07-17,88,68,78,M,70,73,0,13,-,-,MO,M,0.00,29.98,30.07, 4.5,18,6.1,Wed,holiday
11124,17,2013-07-17,94,71,83,M,70,74,0,18,-,-,MO,0.0,0.00,29.55,30.24, 3.0,14,4.0,Wed,holiday
11125,18,2013-07-17,93,73,83,-4,70,73,0,18,0531,1936,RA,0.0,0.04,29.66,30.16, 5.0,11,6.1,Wed,holiday
11126,19,2013-07-17,95,79,87,15,72,76,0,22,0428,1928,MO,0.0,0.00,29.47,30.21, 7.1,25,7.8,Wed,holiday
11127,20,2013-07-17,92,71,82,M,71,73,0,17,-,-,MO,0.0,0.19,29.46,30.16, 5.2,11,5.7,Wed,holiday
11128,1,2013-07-18,91,75,83,M,69,73,0,18,-,-,MO,M,0.00,29.84,29.99, 1.2,11,4.1,Thi,holiday
11129,2,2013-07-18,91,74,83,12,69,73,0,18,0427,1921,MO,0.0,0.00,28.95,30.01, 7.3,27,8.1,Thi,holiday
11130,3,2013-07-18,96,73,85, 1,68,74,0,20,0520,1940,MO,0.0,0.00,29.36,30.08, 2.3,23,3.5,Thi,holiday
11131,4,2013-07-18,95,73,84,-1,69,73,0,19,0541,1934,MO,0.0,0.00,29.39,30.07, 0.7,16,2.4,Thi,holiday
11132,5,2013-07-18,M,M,M,M,M,M,M,M,0424,1918,MO,M,M,M,M,M,M,M,Thi,holiday
11133,6,2013-07-18,95,72,84, 0,70,73,0,19,0541,1933,MO,0.0,0.00,29.55,30.07, 1.6,12,4.4,Thi,holiday
11134,7,2013-07-18,91,71,81,M,66,71,0,16,-,-,"BR,HZ",0.0,  T,28.74,30.10, 6.6,20,6.9,Thi,holiday
11135,8,2013-07-18,96,76,86,M,73,76,0,21,-,-,RA,M,0.15,29.72,M, 2.2,14,3.3,Thi,holiday
11136,9,2013-07-18,93,75,84,M,69,74,0,19,-,-,MO,M,0.00,29.13,29.91,10.9,22,11.6,Thi,holiday
11137,10,2013-07-18,88,77,83,M,72,75,0,18,0537,1929,MO,M,0.00,30.09,30.11, 5.8,11,6.9,Thi,holiday
11138,11,2013-07-18,89,71,80,-2,72,74,0,15,0536,1930,MO,0.0,0.00,30.08,30.11, 3.1,09,4.4,Thi,holiday
11139,12,2013-07-18,90,73,82,M,71,74,0,17,-,-,RA,0.0,  T,30.08,30.11, 4.2,10,4.3,Thi,holiday
11140,13,2013-07-18,92,61,77,M,49,60,0,12,-,-,MO,M,0.00,24.37,29.97, 7.4,33,10.9,Thi,holiday
11141,14,2013-07-18,91,72,82, 0,69,73,0,17,0529,1945,MO,0.0,0.00,28.74,30.10, 5.5,18,5.9,Thi,holiday
11142,15,2013-07-18,93,69,81,11,70,73,0,16,0422,1922,AN,0.0,1.28,29.62,29.98, 1.1,36,3.9,Thi,holiday
11143,16,2013-07-18,88,72,80,M,70,73,0,15,-,-,MO,M,0.00,29.86,29.95, 1.3,12,6.4,Thi,holiday
11144,17,2013-07-18,96,72,84,M,70,75,0,19,-,-,MO,0.0,0.00,29.42,30.12, 1.2,22,2.0,Thi,holiday
11145,18,2013-07-18,95,74,85,-2,69,74,0,20,0532,1936,MO,0.0,0.00,29.57,30.09, 1.4,14,2.8,Thi,holiday
11146,19,2013-07-18,95,79,87,15,71,76,0,22,0429,1927,MO,0.0,0.00,29.26,30.02, 9.9,24,10.3,Thi,holiday
11147,20,2013-07-18,93,71,82,M,70,74,0,17,-,-,RA,0.0,0.01,29.38,30.09, 1.2,14,2.0,Thi,holiday
11148,1,2013-07-19,97,74,86,M,71,76,0,21,-,-,MO,M,0.00,29.67,29.81, 9.5,23,10.0,Fri,holiday
11149,2,2013-07-19,93,74,84,13,72,75,0,19,0428,1920,HZ,0.0,0.00,28.82,29.85,12.8,24,13.3,Fri,holiday
11150,3,2013-07-19,98,74,86, 2,68,74,0,21,0520,1939,AN,0.0,0.00,29.23,29.95, 5.0,20,6.9,Fri,holiday
11151,4,2013-07-19,96,72,84,-1,68,73,0,19,0542,1933,MO,0.0,0.00,29.31,29.99, 1.8,13,3.4,Fri,holiday
11152,5,2013-07-19,M,M,M,M,M,M,M,M,0425,1917,MO,M,M,M,M,M,M,M,Fri,holiday
11153,6,2013-07-19,96,69,83,-1,69,73,0,18,0542,1932,MO,0.0,0.00,29.46,29.98, 2.8,14,4.0,Fri,holiday
11154,7,2013-07-19,93,71,82,M,65,71,0,17,-,-,HZ,0.0,  T,28.61,29.96, 7.9,20,8.4,Fri,holiday
11155,8,2013-07-19,97,74,86,M,72,75,0,21,-,-,AN,M,0.00,29.65,M, 2.7,11,3.3,Fri,holiday
11156,9,2013-07-19,85,73,79,M,63,69,0,14,-,-,"TS,RA",M,  T,29.07,29.81,10.3,28,12.0,Fri,holiday
11157,10,2013-07-19,89,75,82,M,71,74,0,17,0537,1929,MO,M,0.56,30.06,30.09, 7.6,19,8.3,Fri,holiday
11158,11,2013-07-19,89,73,81,-1,72,74,0,16,0537,1929,MO,0.0,0.10,30.06,30.09, 4.5,20,5.4,Fri,holiday
11159,12,2013-07-19,92,74,83,M,70,74,0,18,-,-,RA,0.0,  T,30.05,M, 5.7,21,6.2,Fri,holiday
11160,13,2013-07-19,83,62,73,M,53,60,0, 8,-,-,MO,M,0.00,24.38,30.01, 2.0,03,7.6,Fri,holiday
11161,14,2013-07-19,94,71,83, 1,67,72,0,18,0529,1944,MO,0.0,0.00,28.61,29.96, 5.3,19,6.3,Fri,holiday
11162,15,2013-07-19,95,69,82,12,72,75,0,17,0423,1922,AN,0.0,0.24,29.44,29.79, 5.9,22,6.0,Fri,holiday
11163,16,2013-07-19,96,71,84,M,72,76,0,19,-,-,MO,M,0.00,29.70,29.78, 8.8,24,9.2,Fri,holiday
11164,17,2013-07-19,98,72,85,M,70,74,0,20,-,-,MO,0.0,0.00,29.29,29.99, 3.1,21,3.7,Fri,holiday
11165,18,2013-07-19,96,77,87, 0,70,74,0,22,0532,1935,"TS,RA,RA",0.0,0.02,29.47,29.98, 4.7,14,6.9,Fri,holiday
11166,19,2013-07-19,94,79,87,15,69,75,0,22,0430,1926,MO,0.0,  T,29.04,29.78,14.1,25,14.8,Fri,holiday
11167,20,2013-07-19,95,75,85,M,70,74,0,20,-,-,MO,0.0,  T,29.28,29.98, 4.1,15,7.1,Fri,holiday
11168,1,2013-07-20,93,74,84,M,68,73,0,19,-,-,HZ,M,0.00,29.55,29.72, 7.2,25,8.1,Sat,holiday
11169,2,2013-07-20,88,69,79, 8,70,73,0,14,0428,1919,"RA,BR,HZ",0.0,0.15,28.69,29.76,10.1,26,10.6,Sat,holiday
11170,3,2013-07-20,98,75,87, 3,68,74,0,22,0521,1939,"TS,RA",0.0,  T,29.16,29.87, 7.5,17,9.7,Sat,holiday
11171,4,2013-07-20,96,75,86, 1,70,74,0,21,0542,1933,RA,0.0,0.04,29.24,29.91, 1.0,16,3.3,Sat,holiday
11172,5,2013-07-20,M,M,M,M,M,M,M,M,0426,1916,MO,M,M,M,M,M,M,M,Sat,holiday
11173,6,2013-07-20,94,71,83,-1,70,73,0,18,0542,1932,MO,0.0,0.00,29.39,29.91, 4.5,17,5.8,Sat,holiday
11174,7,2013-07-20,94,73,84,M,67,72,0,19,-,-,HZ,0.0,0.00,28.53,29.87,10.2,19,10.5,Sat,holiday
11175,8,2013-07-20,97,76,87,M,73,76,0,22,-,-,AN,M,0.00,29.58,M, 3.6,14,4.2,Sat,holiday
11176,9,2013-07-20,81,66,74,M,59,65,0, 9,-,-,MO,M,  T,29.16,29.90, 3.8,02,6.3,Sat,holiday
11177,10,2013-07-20,87,74,81,M,71,73,0,16,0538,1928,RA,M,0.11,30.05,30.07, 6.1,19,7.4,Sat,holiday
11178,11,2013-07-20,88,71,80,-2,71,73,0,15,0537,1929,"RA,BR",0.0,0.55,30.04,30.07, 3.9,20,4.4,Sat,holiday
11179,12,2013-07-20,91,74,83,M,71,73,0,18,-,-,RA,0.0,0.54,30.03,30.07, 3.3,22,4.6,Sat,holiday
11180,13,2013-07-20,92,58,75,M,50,60,0,10,-,-,MO,M,0.00,24.26,29.87, 2.7,10,7.3,Sat,holiday
11181,14,2013-07-20,95,72,84, 2,69,74,0,19,0530,1944,MO,0.0,0.00,28.53,29.87, 6.8,18,7.5,Sat,holiday
11182,15,2013-07-20,89,64,77, 6,67,70,0,12,0424,1921,MO,0.0,0.01,29.34,M, 4.3,27,4.0,Sat,holiday
11183,16,2013-07-20,93,72,83,M,71,75,0,18,-,-,AN,M,0.05,29.58,29.68, 6.7,25,7.2,Sat,holiday
11184,17,2013-07-20,98,71,85,M,69,74,0,20,-,-,MO,0.0,0.00,29.23,29.91, 4.2,18,5.6,Sat,holiday
11185,18,2013-07-20,95,76,86,-1,70,74,0,21,0533,1935,"TS,RA",0.0,0.16,29.39,29.90, 4.6,17,6.0,Sat,holiday
11186,19,2013-07-20,83,67,75, 2,61,66,0,10,0430,1926,MO,0.0,0.00,29.17,29.89, 5.6,02,7.2,Sat,holiday
11187,20,2013-07-20,96,74,85,M,70,74,0,20,-,-,RA,0.0,  T,29.20,29.90, 3.1,17,4.6,Sat,holiday
11188,1,2013-07-21,82,67,75,M,62,66,0,10,-,-,MO,M,0.00,29.77,29.95, 1.7,10,3.4,Sun,holiday
11189,2,2013-07-21,83,67,75, 4,61,66,0,10,0429,1919,MO,0.0,0.00,28.86,29.95, 3.4,29,4.6,Sun,holiday
11190,3,2013-07-21,90,70,80,-4,72,74,0,15,0522,1938,"RA,BR",0.0,1.76,29.14,29.85, 4.2,13,8.4,Sun,holiday
11191,4,2013-07-21,96,75,86, 1,72,75,0,21,0543,1932,MO,0.0,0.00,29.24,29.90, 4.3,17,5.6,Sun,holiday
11192,5,2013-07-21,M,M,M,M,M,M,M,M,0426,1915,MO,M,M,M,M,M,M,M,Sun,holiday
11193,6,2013-07-21,96,72,84, 0,73,75,0,19,0543,1932,RA,0.0,0.06,29.40,29.90, 6.7,18,7.6,Sun,holiday
11194,7,2013-07-21,95,75,85,M,67,72,0,20,-,-,MO,0.0,0.00,28.49,29.82,10.0,19,10.4,Sun,holiday
11195,8,2013-07-21,M,76,M,M,M,M,M,M,-,-,AN,M,0.10,29.58,M, 3.0,17,3.6,Sun,holiday
11196,9,2013-07-21,81,60,71,M,60,64,0, 6,-,-,"TS,RA,RA",M,0.12,29.11,29.87, 6.3,12,7.1,Sun,holiday
11197,10,2013-07-21,91,73,82,M,73,75,0,17,0539,1928,RA,M,0.08,30.03,30.06, 6.5,22,8.0,Sun,holiday
11198,11,2013-07-21,89,72,81,-1,73,74,0,16,0538,1928,"TS,RA,RA",0.0,0.29,30.02,30.06, 4.4,23,6.1,Sun,holiday
11199,12,2013-07-21,93,75,84,M,71,74,0,19,-,-,RA,0.0,0.03,30.02,30.07, 5.2,23,6.3,Sun,holiday
11200,13,2013-07-21,90,63,77,M,47,59,0,12,-,-,MO,M,0.00,24.21,29.78, 3.5,20,10.2,Sun,holiday
11201,14,2013-07-21,96,74,85, 2,69,74,0,20,0531,1943,MO,0.0,0.00,28.48,29.82, 8.3,19,8.5,Sun,holiday
11202,15,2013-07-21,81,61,71, 0,63,66,0, 6,0425,1920,MO,0.0,0.00,29.54,29.93, 1.5,15,2.1,Sun,holiday
11203,16,2013-07-21,79,67,73,M,63,67,0, 8,-,-,BR,M,0.00,29.80,29.92, 4.2,12,5.6,Sun,holiday
11204,17,2013-07-21,93,72,83,M,73,75,0,18,-,-,"RA,BR,TS",0.0,0.74,29.20,29.88, 3.1,14,6.5,Sun,holiday
11205,18,2013-07-21,98,76,87, 0,70,75,0,22,0534,1934,MO,0.0,0.00,29.37,29.87, 7.9,19,9.0,Sun,holiday
11206,19,2013-07-21,76,64,70,-3,62,65,0, 5,0431,1925,"RA,BR",0.0,0.38,29.21,29.94, 6.4,09,7.8,Sun,holiday
11207,20,2013-07-21,97,74,86,M,70,75,0,21,-,-,MO,0.0,0.00,29.18,29.87, 3.9,18,6.2,Sun,holiday
11208,1,2013-07-22,82,69,76,M,66,69,0,11,-,-,BR,M,0.00,29.83,29.98, 4.7,07,5.0,Mon,holiday
11209,2,2013-07-22,82,65,74, 3,66,68,0, 9,0430,1918,AN,0.0,  T,28.90,29.96, 3.6,09,4.8,Mon,holiday
11210,3,2013-07-22,94,79,87, 3,72,76,0,22,0523,1937,"TS,RA",0.0,0.06,29.12,29.81, 9.7,18,10.9,Mon,holiday
11211,4,2013-07-22,99,78,89, 4,71,76,0,24,0543,1932,MO,0.0,0.00,29.26,29.92, 5.2,18,7.2,Mon,holiday
11212,5,2013-07-22,M,M,M,M,M,M,M,M,0427,1915,MO,M,M,M,M,M,M,M,Mon,holiday
11213,6,2013-07-22,98,77,88, 4,72,76,0,23,0543,1931,MO,0.0,0.00,29.42,29.92,11.3,18,11.8,Mon,holiday
11214,7,2013-07-22,96,77,87,M,68,74,0,22,-,-,MO,0.0,0.00,28.51,29.83,12.2,20,12.8,Mon,holiday
11215,8,2013-07-22,M,80,M,M,M,M,M,M,-,-,MO,M,0.00,29.60,M, 8.8,17,8.9,Mon,holiday
11216,9,2013-07-22,88,66,77,M,62,67,0,12,-,-,MO,M,0.00,29.00,29.73, 3.5,29,11.4,Mon,holiday
11217,10,2013-07-22,91,75,83,M,73,75,0,18,0539,1927,"RA,BR",M,0.17,30.05,30.06, 9.0,23,9.3,Mon,holiday
11218,11,2013-07-22,90,74,82, 0,73,75,0,17,0539,1928,"RA,BR",0.0,0.27,30.03,30.06, 7.2,23,7.6,Mon,holiday
11219,12,2013-07-22,93,76,85,M,73,76,0,20,-,-,RA,0.0,0.16,30.03,30.06, 8.6,24,8.8,Mon,holiday
11220,13,2013-07-22,95,66,81,M,38,57,0,16,-,-,MO,M,0.00,24.24,29.79, 0.9,23,7.2,Mon,holiday
11221,14,2013-07-22,96,77,87, 4,71,75,0,22,0531,1942,MO,0.0,0.00,28.51,29.83,10.9,20,11.6,Mon,holiday
11222,15,2013-07-22,78,63,71, 0,65,66,0, 6,0426,1919,"RA,BR",0.0,0.03,29.61,29.98, 2.2,07,3.2,Mon,holiday
11223,16,2013-07-22,M,M,M,M,M,M,M,M,-,-,"FG,BR",M,0.01,29.85,M,M,M,M,Mon,holiday
11224,17,2013-07-22,96,76,86,M,73,77,0,21,-,-,"RA,TS",0.0,0.13,29.18,29.85, 5.1,19,6.3,Mon,holiday
11225,18,2013-07-22,99,79,89, 2,70,76,0,24,0534,1934,MO,0.0,0.00,29.39,29.90, 9.6,20,10.0,Mon,holiday
11226,19,2013-07-22,86,64,75, 2,68,71,0,10,0432,1924,"RA,BR",0.0,0.02,29.04,29.78, 4.9,19,6.3,Mon,holiday
11227,20,2013-07-22,97,78,88,M,71,76,0,23,-,-,MO,0.0,0.00,29.21,29.89, 4.9,18,7.4,Mon,holiday
11228,1,2013-07-23,79,69,74,M,69,70,0, 9,-,-,"RA,BR,TS",M,1.63,29.54,29.66, 1.6,06,3.3,Tue,holiday
11229,2,2013-07-23,82,67,75, 4,70,70,0,10,0431,1917,AN,0.0,1.37,28.63,29.66, 2.8,26,6.5,Tue,holiday
11230,3,2013-07-23,100,68,84, 0,72,77,0,19,0523,1937,"RA,BR",0.0,0.59,29.11,29.80, 4.5,24,9.3,Tue,holiday
11231,4,2013-07-23,99,78,89, 3,69,75,0,24,0544,1931,MO,0.0,0.00,29.26,29.92, 5.1,18,7.1,Tue,holiday
11232,5,2013-07-23,M,M,M,M,M,M,M,M,0428,1914,MO,M,M,M,M,M,M,M,Tue,holiday
11233,6,2013-07-23,99,77,88, 4,70,75,0,23,0544,1931,MO,0.0,0.00,29.41,29.92,11.4,19,11.7,Tue,holiday
11234,7,2013-07-23,96,78,87,M,69,75,0,22,-,-,MO,0.0,  T,28.49,29.81,12.4,19,12.7,Tue,holiday
11235,8,2013-07-23,M,M,M,M,M,M,M,M,-,-,HZ,M,0.00,29.60,M, 8.4,19,8.8,Tue,holiday
11236,9,2013-07-23,76,61,69,M,52,59,0, 4,-,-,MO,M,0.00,29.23,29.96, 7.2,36,8.3,Tue,holiday
11237,10,2013-07-23,89,74,82,M,73,75,0,17,0540,1927,RA,M,0.04,29.96,29.98,10.0,24,10.6,Tue,holiday
11238,11,2013-07-23,91,73,82, 0,73,75,0,17,0539,1927,MO,0.0,  T,29.95,29.97, 8.5,24,9.2,Tue,holiday
11239,12,2013-07-23,93,76,85,M,72,75,0,20,-,-,MO,0.0,0.05,29.95,29.98, 9.4,24,9.8,Tue,holiday
11240,13,2013-07-23,90,66,78,M,41,57,0,13,-,-,MO,M,0.00,24.32,29.88, 1.7,01,6.5,Tue,holiday
11241,14,2013-07-23,97,76,87, 4,72,76,0,22,0532,1942,MO,0.0,0.00,28.48,29.82, 9.5,19,9.8,Tue,holiday
11242,15,2013-07-23,77,64,71, 0,66,66,0, 6,0427,1918,AN,0.0,2.40,29.33,29.66, 2.4,35,2.9,Tue,holiday
11243,16,2013-07-23,M,M,M,M,M,M,M,M,-,-,"RA,BR,TS",M,0.00,29.56,M,M,M,M,Tue,holiday
11244,17,2013-07-23,100,69,85,M,73,77,0,20,-,-,"RA,BR,TS",0.0,0.85,29.18,29.85, 2.2,25,5.2,Tue,holiday
11245,18,2013-07-23,99,82,91, 4,70,76,0,26,0535,1933,MO,0.0,0.00,29.36,29.88, 8.9,20,9.1,Tue,holiday
11246,19,2013-07-23,76,62,69,-4,57,62,0, 4,0433,1923,MO,0.0,  T,29.14,29.85, 9.0,02,11.1,Tue,holiday
11247,20,2013-07-23,98,80,89,M,70,76,0,24,-,-,MO,0.0,0.00,29.18,29.88, 4.1,19,6.7,Tue,holiday
11248,1,2013-07-24,86,63,75,M,63,68,0,10,-,-,"FG,BR",M,0.00,29.54,29.74, 4.6,31,6.5,Wed,holiday
11249,2,2013-07-24,79,62,71, 0,62,66,0, 6,0432,1916,MO,0.0,0.00,28.64,29.75, 8.7,30,10.2,Wed,holiday
11250,3,2013-07-24,90,71,81,-3,69,73,0,16,0524,1936,"TS,RA,RA",0.0,0.04,29.24,29.93, 1.1,04,7.4,Wed,holiday
11251,4,2013-07-24,97,77,87, 1,70,75,0,22,0545,1931,MO,0.0,0.00,29.26,29.91, 3.1,20,4.4,Wed,holiday
11252,5,2013-07-24,M,M,M,M,M,M,M,M,0429,1913,MO,M,M,M,M,M,M,M,Wed,holiday
11253,6,2013-07-24,97,75,86, 2,71,75,0,21,0544,1930,MO,0.0,0.00,29.41,29.90, 7.8,20,8.1,Wed,holiday
11254,7,2013-07-24,88,65,77,M,66,70,0,12,-,-,"RA,BR,TS",0.0,2.09,28.62,29.94, 4.9,12,10.7,Wed,holiday
11255,8,2013-07-24,97,78,88,M,75,78,0,23,-,-,BR,M,0.00,29.58,M, 5.5,19,6.1,Wed,holiday
11256,9,2013-07-24,77,59,68,M,55,60,0, 3,-,-,MO,M,0.00,29.26,30.01, 3.8,14,4.3,Wed,holiday
