,units
42191,2
42192,22
42193,40
42194,57
42195,61
42196,7
42197,84
42198,32
42199,1
42200,64
42201,36
42202,11
42203,18
42204,1
42205,2
42206,15
42207,1
42208,84
42209,41
42210,13
42211,17
42212,1
42213,20
42214,52
42215,1
42216,9
42217,34
42218,58
42219,15
42220,66
42221,2
42222,87
42223,45
42224,64
42225,19
42226,18
42227,1
42228,2
42229,15
42230,38
42231,2
42232,14
42233,58
42234,64
42235,83
42236,9
42237,71
42238,51
42239,1
42240,69
42241,10
42242,13
42243,12
42244,41
42245,4
42246,9
42247,56
42248,10
42249,1
42250,65
42251,11
42252,14
42253,2
42254,20
42255,35
42256,4
42257,36
42258,41
42259,57
42260,8
42261,1
42262,70
42263,28
42264,2
42265,56
42266,15
42267,2
42268,30
42269,1
42270,3
42271,13
42272,36
42273,55
42274,70
42275,7
42276,85
42277,62
42278,10
42279,9
42280,13
42281,1
42282,22
42283,69
42284,14
42285,4
42286,65
42287,34
42288,77
42289,14
42290,2
42291,29
42292,2
42293,2
42294,50
42295,12
42296,2
42297,2
42298,1
42299,70
42300,25
42301,1
42302,1
42303,23
42304,49
42305,8
42306,29
42307,70
42308,46
42309,10
42310,1
42311,68
42312,30
42313,2
42314,52
42315,11
42316,18
42317,42
42318,5
42319,38
42320,47
42321,47
42322,73
42323,15
42324,2
42325,57
42326,2
42327,66
42328,32
42329,1
42330,55
42331,9
42332,10
42333,2
42334,24
42335,25
42336,6
42337,18
42338,34
42339,55
42340,74
42341,7
42342,58
42343,45
42344,1
42345,6
42346,18
42347,1
42348,12
42349,51
42350,55
42351,8
42352,48
42353,64
42354,12
42355,2
42356,18
42357,28
42358,2
42359,24
42360,40
42361,77
42362,7
42363,70
42364,21
42365,14
42366,3
42367,22
42368,38
42369,3
42370,15
42371,55
42372,36
42373,4
42374,1
42375,86
42376,34
42377,60
42378,21
42379,13
42380,2
42381,38
42382,10
42383,50
42384,72
42385,86
42386,13
42387,80
42388,52
42389,1
42390,2
42391,22
42392,17
42393,1
42394,33
42395,6
42396,11
42397,60
42398,54
42399,82
42400,9
42401,60
42402,85
42403,52
42404,4
42405,71
42406,17
42407,1
42408,23
42409,33
42410,2
42411,3
42412,22
42413,45
42414,72
42415,9
42416,48
42417,30
42418,9
42419,2
42420,19
42421,33
42422,1
42423,2
42424,40
42425,69
42426,7
42427,67
42428,72
42429,33
42430,3
42431,6
42432,27
42433,1
42434,3
42435,18
42436,43
42437,66
42438,10
42439,1
42440,3
42441,10
42442,21
42443,42
42444,4
42445,12
42446,37
42447,57
42448,11
42449,37
42450,2
42451,60
42452,14
42453,11
42454,1
42455,9
42456,25
42457,1
42458,3
42459,32
42460,51
42461,37
42462,84
42463,9
42464,2
42465,78
42466,45
42467,2
42468,76
42469,18
42470,8
42471,2
42472,25
42473,35
42474,2
42475,3
42476,43
42477,63
42478,8
42479,1
42480,54
42481,83
42482,56
42483,14
42484,2
42485,2
42486,26
42487,33
42488,1
42489,2
42490,71
42491,62
42492,12
42493,2
42494,52
42495,60
42496,25
42497,75
42498,8
42499,7
42500,4
42501,16
42502,35
42503,3
42504,3
42505,22
42506,52
42507,65
42508,9
42509,2
42510,40
42511,1
42512,48
42513,26
42514,11
42515,2
42516,22
42517,33
42518,7
42519,21
42520,33
42521,11
42522,50
42523,25
42524,3
42525,1
42526,8
42527,37
42528,1
42529,4
42530,17
42531,54
42532,65
42533,5
42534,1
42535,44
42536,54
42537,8
42538,30
42539,5
42540,2
42541,44
42542,12
42543,1
42544,65
42545,29
42546,1
42547,77
42548,17
42549,13
42550,10
42551,34
42552,4
42553,43
42554,74
42555,9
42556,1
42557,1
42558,71
42559,61
42560,16
42561,4
42562,30
42563,36
42564,2
42565,20
42566,37
42567,45
42568,15
42569,3
42570,48
42571,88
42572,2
42573,13
42574,1
42575,20
42576,31
42577,2
42578,8
42579,42
42580,51
42581,18
42582,55
42583,2
42584,78
42585,2
42586,69
42587,16
42588,15
42589,11
42590,32
42591,3
42592,16
42593,40
42594,65
42595,15
42596,68
42597,1
42598,47
42599,16
42600,4
42601,3
42602,8
42603,31
42604,1
42605,10
42606,2
42607,1
42608,36
42609,2
42610,9
42611,9
42612,1
42613,27
42614,34
42615,1
42616,6
42617,14
42618,33
42619,58
42620,6
42621,2
42622,65
42623,22
42624,12
42625,1
42626,19
42627,25
42628,39
42629,56
42630,61
42631,6
42632,1
42633,40
42634,2
42635,56
42636,15
42637,2
42638,12
42639,33
42640,1
42641,2
42642,44
42643,48
42644,12
42645,59
42646,1
42647,72
42648,34
42649,4
42650,20
42651,10
42652,1
42653,1
42654,13
42655,32
42656,1
42657,5
42658,44
42659,46
42660,68
42661,83
42662,20
42663,3
42664,1
42665,75
42666,55
42667,19
42668,19
42669,2
42670,53
42671,3
42672,11
42673,29
42674,61
42675,92
42676,69
42677,24
42678,1
42679,43
42680,4
42681,63
42682,78
42683,6
42684,33
42685,4
42686,18
42687,30
42688,2
42689,44
42690,40
42691,70
42692,3
42693,60
42694,2
42695,81
42696,36
42697,2
42698,76
42699,21
42700,10
42701,2
42702,18
42703,5
42704,16
42705,75
42706,1
42707,40
42708,4
42709,57
42710,29
42711,46
42712,10
42713,7
42714,37
42715,1
42716,22
42717,33
42718,42
42719,62
42720,47
42721,72
42722,72
42723,8
42724,6
42725,6
42726,2
42727,7
42728,39
42729,39
42730,40
42731,36
42732,58
42733,1
42734,44
42735,59
42736,59
42737,76
42738,18
42739,10
42740,32
42741,41
42742,2
42743,2
42744,49
42745,42
42746,58
42747,3
42748,74
42749,2
42750,65
42751,11
42752,1
42753,1
42754,37
42755,35
42756,2
42757,40
42758,52
42759,80
42760,1
42761,52
42762,75
42763,56
42764,48
42765,38
42766,9
42767,1
42768,31
42769,35
42770,1
42771,34
42772,41
42773,73
42774,2
42775,68
42776,46
42777,1
42778,47
42779,34
42780,11
42781,33
42782,4
42783,3
42784,36
42785,49
42786,38
42787,66
42788,13
42789,12
42790,1
42791,5
42792,37
42793,4
42794,16
42795,45
42796,52
42797,67
42798,68
42799,61
42800,17
42801,28
42802,35
42803,1
42804,2
42805,34
42806,55
42807,64
42808,1
42809,51
42810,50
42811,25
42812,11
42813,18
42814,29
42815,6
42816,12
42817,35
42818,48
42819,83
42820,1
42821,72
42822,52
42823,63
42824,16
42825,12
42826,2
42827,18
42828,23
42829,89
42830,48
42831,63
42832,58
42833,4
42834,80
42835,12
42836,23
42837,50
42838,2
42839,47
42840,49
42841,66
42842,61
42843,1
42844,84
42845,32
42846,64
42847,11
42848,10
42849,4
42850,23
42851,27
42852,1
42853,40
42854,44
42855,46
42856,65
42857,1
42858,69
42859,24
42860,7
42861,1
42862,18
42863,35
42864,2
42865,32
42866,66
42867,57
42868,49
42869,7
42870,1
42871,13
42872,5
42873,2
42874,44
42875,37
42876,60
42877,65
42878,1
42879,45
42880,60
42881,33
42882,2
42883,52
42884,12
42885,9
42886,1
42887,20
42888,2
42889,2
42890,24
42891,45
42892,3
42893,2
42894,79
42895,30
42896,1
42897,13
42898,17
42899,27
42900,4
42901,27
42902,52
42903,48
42904,1
42905,68
42906,80
42907,60
42908,15
42909,7
42910,4
42911,1
42912,27
42913,33
42914,4
42915,22
42916,43
42917,1
42918,1
42919,53
42920,1
42921,2
42922,76
42923,1
42924,20
42925,14
42926,1
42927,29
42928,4
42929,31
42930,57
42931,66
42932,2
42933,1
42934,44
42935,50
42936,17
42937,16
42938,30
42939,36
42940,3
42941,19
42942,47
42943,57
42944,57
42945,76
42946,39
42947,75
42948,34
42949,14
42950,1
42951,35
42952,6
42953,5
42954,32
42955,61
42956,53
42957,76
42958,1
42959,27
42960,52
42961,2
42962,19
42963,36
42964,2
42965,8
42966,18
42967,62
42968,69
42969,2
42970,68
42971,1
42972,71
42973,16
42974,11
42975,27
42976,4
42977,2
42978,52
42979,67
42980,56
42981,63
42982,28
42983,6
42984,14
42985,29
42986,1
42987,4
42988,39
42989,43
42990,62
42991,71
42992,1
42993,1
42994,85
42995,9
42996,1
42997,35
42998,34
42999,2
43000,33
43001,78
43002,2
43003,83
43004,33
43005,67
43006,19
43007,7
43008,14
43009,35
43010,1
43011,4
43012,23
43013,46
43014,78
43015,1
43016,3
43017,53
43018,63
43019,44
43020,70
43021,14
43022,1
43023,16
43024,32
43025,17
43026,54
43027,60
43028,2
43029,69
43030,25
43031,47
43032,8
43033,2
43034,19
43035,35
43036,4
43037,3
43038,45
43039,48
43040,67
43041,1
43042,61
43043,43
43044,50
43045,12
43046,8
43047,15
43048,29
43049,2
43050,26
43051,42
43052,67
43053,53
43054,14
43055,12
43056,32
43057,1
43058,29
43059,43
43060,42
43061,70
43062,2
43063,66
43064,44
43065,78
43066,15
43067,7
43068,37
43069,1
43070,21
43071,42
43072,84
43073,79
43074,46
43075,1
43076,67
43077,20
43078,12
43079,22
43080,31
43081,2
43082,1
43083,21
43084,40
43085,87
43086,2
43087,59
43088,71
43089,15
43090,15
43091,38
43092,48
43093,1
43094,7
43095,35
43096,47
43097,60
43098,1
43099,47
43100,1
43101,3
43102,51
43103,25
43104,17
43105,1
43106,42
43107,6
43108,3
43109,18
43110,40
43111,80
43112,29
43113,1
43114,66
43115,8
43116,8
43117,37
43118,1
43119,24
43120,50
43121,52
43122,73
43123,1
43124,1
43125,31
43126,7
43127,25
43128,48
43129,22
43130,62
43131,74
43132,61
43133,77
43134,44
43135,50
43136,6
43137,1
43138,22
43139,27
43140,3
43141,41
43142,40
43143,82
43144,2
43145,60
43146,17
43147,11
43148,2
43149,10
43150,1
43151,3
43152,40
43153,1
43154,57
43155,14
43156,24
43157,50
43158,3
43159,3
43160,37
43161,40
43162,88
43163,1
43164,79
43165,2
43166,73
43167,7
43168,24
43169,39
43170,1
43171,4
43172,21
43173,41
43174,43
43175,72
43176,1
43177,58
43178,2
43179,46
43180,53
43181,17
43182,1
43183,25
43184,40
43185,4
43186,38
43187,41
43188,66
43189,3
43190,64
43191,1
43192,75
43193,19
43194,16
43195,45
43196,1
43197,4
43198,39
43199,60
43200,63
43201,79
43202,51
43203,35
43204,2
43205,60
43206,23
43207,8
43208,25
43209,2
43210,3
43211,40
43212,36
43213,60
43214,1
43215,56
43216,65
43217,12
43218,23
43219,49
43220,1
43221,1
43222,18
43223,44
43224,46
43225,57
43226,14
43227,1
43228,1
43229,23
43230,26
43231,4
43232,43
43233,2
43234,88
43235,41
43236,2
43237,50
43238,14
43239,31
43240,51
43241,80
43242,71
43243,82
43244,46
43245,76
43246,26
43247,16
43248,29
43249,55
43250,2
43251,21
43252,46
43253,51
43254,77
43255,13
43256,10
43257,1
43258,18
43259,31
43260,1
43261,15
43262,37
43263,49
43264,78
43265,3
43266,62
43267,63
43268,47
43269,49
43270,15
43271,19
43272,3
43273,29
43274,42
43275,3
43276,47
43277,44
43278,69
43279,50
43280,69
43281,27
43282,1
43283,46
43284,24
43285,16
43286,1
43287,32
43288,26
43289,43
43290,1
43291,55
43292,72
43293,3
43294,49
43295,23
43296,14
43297,31
43298,18
43299,42
43300,42
43301,80
43302,1
43303,63
43304,2
43305,58
43306,31
43307,2
43308,64
43309,12
43310,14
43311,31
43312,2
43313,23
43314,1
43315,1
43316,87
43317,76
43318,18
43319,11
43320,36
43321,33
43322,45
43323,43
43324,1
43325,82
43326,78
43327,34
43328,9
43329,39
43330,46
43331,2
43332,44
43333,52
43334,87
43335,37
43336,1
43337,14
43338,17
43339,36
43340,49
43341,46
43342,68
43343,82
43344,44
43345,67
43346,36
43347,52
43348,9
43349,10
43350,4
43351,20
43352,32
43353,1
43354,3
43355,29
43356,35
43357,58
43358,70
43359,2
43360,53
43361,68
43362,42
43363,68
43364,5
43365,30
43366,4
43367,20
43368,41
43369,76
43370,57
43371,49
43372,13
43373,11
43374,1
43375,31
43376,28
43377,2
43378,4
43379,39
43380,72
43381,1
43382,67
43383,33
43384,2
43385,48
43386,13
43387,21
43388,27
43389,1
43390,21
43391,39
43392,71
43393,69
43394,42
43395,61
43396,10
43397,27
43398,29
43399,1
43400,2
43401,25
43402,66
43403,45
43404,69
43405,20
43406,17
43407,1
43408,29
43409,46
43410,4
43411,75
43412,1
43413,46
43414,58
43415,2
43416,15
43417,35
43418,1
43419,7
43420,39
43421,41
43422,42
43423,70
43424,65
43425,78
43426,40
43427,1
43428,11
43429,9
43430,34
43431,1
43432,47
43433,65
43434,43
43435,48
43436,13
43437,12
43438,14
43439,27
43440,48
43441,60
43442,63
43443,46
43444,38
43445,17
43446,15
43447,16
43448,29
43449,42
43450,1
43451,49
43452,1
43453,58
43454,18
43455,19
43456,29
43457,55
43458,39
43459,84
43460,81
43461,36
43462,69
43463,18
43464,24
43465,33
43466,1
43467,34
43468,43
43469,87
43470,52
43471,55
43472,20
43473,16
43474,5
43475,59
43476,6
43477,21
43478,44
43479,44
43480,1
43481,67
43482,34
43483,61
43484,12
43485,15
43486,1
43487,31
43488,39
43489,28
43490,37
43491,75
43492,2
43493,53
43494,16
43495,9
43496,1
43497,30
43498,41
43499,1
43500,14
43501,71
43502,48
43503,66
43504,57
43505,23
43506,17
43507,12
43508,29
43509,17
43510,38
43511,54
43512,59
43513,59
43514,40
43515,1
43516,11
43517,8
43518,16
43519,36
43520,18
43521,35
43522,54
43523,41
43524,54
43525,19
43526,10
43527,13
43528,47
43529,57
43530,41
43531,1
43532,79
43533,17
43534,8
43535,27
43536,42
43537,1
43538,44
43539,64
43540,52
43541,1
43542,69
43543,61
43544,77
43545,23
43546,30
43547,39
43548,1
43549,30
43550,50
43551,89
43552,84
43553,42
43554,14
43555,2
43556,20
43557,41
43558,1
43559,53
43560,47
43561,56
43562,1
43563,59
43564,37
43565,54
43566,5
43567,16
43568,30
43569,1
43570,35
43571,50
43572,57
43573,49
43574,10
43575,19
43576,40
43577,1
43578,15
43579,37
43580,72
43581,1
43582,79
43583,5
43584,5
43585,8
43586,18
43587,56
43588,43
43589,52
43590,69
43591,8
43592,24
43593,26
43594,14
43595,44
43596,76
43597,1
43598,52
43599,51
43600,38
43601,10
43602,35
43603,39
43604,20
43605,38
43606,84
43607,43
43608,75
43609,62
43610,26
43611,15
43612,31
43613,3
43614,37
43615,53
43616,86
43617,2
43618,78
43619,28
43620,13
43621,16
43622,5
43623,29
43624,31
43625,35
43626,56
43627,58
43628,62
43629,1
43630,33
43631,55
43632,6
43633,1
43634,18
43635,25
43636,37
43637,56
43638,52
43639,14
43640,1
43641,11
43642,31
43643,45
43644,39
43645,42
43646,64
43647,7
43648,12
43649,35
43650,29
43651,41
43652,60
43653,54
43654,49
43655,16
43656,9
43657,27
43658,13
43659,55
43660,59
43661,66
43662,22
43663,17
43664,37
43665,33
43666,24
43667,46
43668,82
43669,64
43670,57
43671,1
43672,68
43673,25
43674,14
43675,27
43676,57
43677,33
43678,44
43679,52
43680,85
43681,92
43682,56
43683,3
43684,19
43685,50
43686,21
43687,43
43688,49
43689,55
43690,33
43691,16
43692,9
43693,7
43694,28
43695,18
43696,40
43697,1
43698,44
43699,64
43700,24
43701,24
43702,7
43703,16
43704,49
43705,23
43706,42
43707,37
43708,1
43709,73
43710,24
43711,18
43712,7
43713,1
43714,11
43715,17
43716,55
43717,2
43718,2
43719,48
43720,8
43721,11
43722,39
43723,40
43724,1
43725,55
43726,3
43727,58
43728,13
43729,12
43730,35
43731,22
43732,45
43733,59
43734,83
43735,47
43736,71
43737,42
43738,75
43739,21
43740,10
43741,34
43742,40
43743,36
43744,56
43745,76
43746,86
43747,36
43748,56
43749,24
43750,35
43751,27
43752,19
43753,36
43754,52
43755,37
43756,9
43757,14
43758,23
43759,28
43760,16
43761,35
43762,55
43763,58
43764,3
43765,26
43766,10
43767,11
43768,26
43769,29
43770,15
43771,45
43772,53
43773,6
43774,8
43775,25
43776,37
43777,45
43778,8
43779,40
43780,10
43781,13
43782,6
43783,28
43784,23
43785,57
43786,54
43787,24
43788,1
43789,37
43790,13
43791,10
43792,40
43793,19
43794,74
43795,28
43796,37
43797,62
43798,21
43799,24
43800,39
43801,19
43802,62
43803,82
43804,19
43805,1
43806,75
43807,28
43808,45
43809,20
43810,18
43811,25
43812,31
43813,23
43814,62
43815,23
43816,75
43817,41
43818,9
43819,17
43820,33
43821,33
43822,38
43823,13
43824,41
43825,2
43826,13
43827,10
43828,17
43829,34
43830,43
43831,74
43832,12
43833,34
43834,22
43835,16
43836,16
43837,37
43838,37
43839,16
43840,65
43841,13
43842,13
43843,23
43844,23
43845,16
43846,44
43847,1
43848,30
43849,46
43850,9
43851,11
43852,17
43853,38
43854,12
43855,66
43856,1
43857,1
43858,17
43859,11
43860,15
43861,13
43862,33
43863,54
43864,10
43865,53
43866,60
43867,16
43868,11
43869,34
43870,40
43871,9
43872,63
43873,29
43874,56
43875,11
43876,11
43877,13
43878,13
43879,1
43880,50
43881,13
43882,10
43883,19
43884,21
43885,62
43886,76
43887,19
43888,57
43889,72
43890,19
43891,23
43892,25
43893,41
43894,39
43895,72
43896,6
43897,4
43898,72
43899,29
43900,12
43901,8
43902,22
43903,33
43904,25
43905,35
43906,53
43907,56
43908,9
43909,29
43910,13
43911,12
43912,22
43913,16
43914,34
43915,8
43916,60
43917,56
43918,28
43919,19
43920,5
43921,6
43922,28
43923,36
43924,57
43925,9
43926,39
43927,9
43928,11
43929,12
43930,26
43931,23
43932,12
43933,34
43934,57
43935,11
43936,9
43937,28
43938,19
43939,38
43940,12
43941,45
43942,48
43943,37
43944,47
43945,3
43946,26
43947,42
43948,1
43949,49
43950,53
43951,2
43952,41
43953,42
43954,36
43955,1
43956,5
43957,41
43958,33
43959,10
43960,49
43961,1
43962,48
43963,2
43964,35
43965,3
43966,40
43967,7
43968,1
43969,4
43970,51
43971,56
43972,2
43973,1
43974,44
43975,46
43976,4
43977,50
43978,1
43979,12
43980,31
43981,1
43982,20
43983,1
43984,2
43985,4
43986,38
43987,3
43988,22
43989,24
43990,43
43991,2
43992,37
43993,4
43994,39
43995,1
43996,39
43997,2
43998,53
43999,11
44000,40
44001,1
44002,1
44003,59
44004,6
44005,32
44006,1
44007,5
44008,2
44009,56
44010,1
44011,1
44012,37
44013,2
44014,1
44015,39
44016,34
44017,3
44018,30
44019,2
44020,44
44021,45
44022,4
44023,40
44024,2
44025,39
44026,27
44027,45
44028,21
44029,1
44030,32
44031,35
44032,1
44033,42
44034,47
44035,40
44036,1
44037,43
44038,2
44039,46
44040,5
44041,44
44042,1
44043,4
44044,2
44045,2
44046,44
44047,28
44048,33
44049,2
44050,39
44051,46
44052,37
44053,4
44054,5
44055,2
44056,45
44057,1
44058,57
44059,42
44060,2
44061,1
44062,5
44063,42
44064,2
44065,33
44066,42
44067,38
44068,2
44069,21
44070,32
44071,38
44072,2
44073,32
44074,1
44075,2
44076,1
44077,43
44078,45
44079,30
44080,1
44081,1
44082,43
44083,1
44084,50
44085,43
44086,1
44087,2
44088,38
44089,44
44090,2
44091,2
44092,4
44093,42
44094,57
44095,46
44096,24
44097,1
44098,50
44099,44
44100,1
44101,33
44102,5
44103,1
44104,36
44105,25
44106,29
44107,2
44108,2
44109,36
44110,49
44111,37
44112,1
44113,3
44114,2
44115,40
44116,1
44117,3
44118,44
44119,1
44120,1
44121,5
44122,27
44123,1
44124,1
44125,36
44126,49
44127,2
44128,1
44129,2
44130,36
44131,2
44132,38
44133,23
44134,1
44135,30
44136,44
44137,35
44138,36
44139,4
44140,46
44141,44
44142,3
44143,1
44144,2
44145,1
44146,33
44147,2
44148,3
44149,2
44150,32
44151,2
44152,1
44153,34
44154,1
44155,31
44156,5
44157,25
44158,1
44159,36
44160,45
44161,1
44162,1
44163,53
44164,41
44165,48
44166,1
44167,1
44168,12
44169,42
44170,1
44171,48
44172,4
44173,1
44174,37
44175,3
44176,8
44177,28
44178,1
44179,53
44180,3
44181,53
44182,2
44183,13
44184,60
44185,1
44186,3
44187,24
44188,1
44189,3
44190,1
44191,2
44192,51
44193,2
44194,24
44195,3
44196,43
44197,2
44198,51
44199,33
44200,33
44201,2
44202,5
44203,41
44204,49
44205,26
44206,3
44207,30
44208,54
44209,31
44210,2
44211,51
44212,48
44213,14
44214,2
44215,2
44216,12
44217,48
44218,3
44219,5
44220,44
44221,2
44222,44
44223,48
44224,11
44225,54
44226,39
44227,6
44228,2
44229,5
44230,1
44231,38
44232,22
44233,2
44234,1
44235,29
44236,43
44237,30
44238,45
44239,2
44240,30
44241,2
44242,28
44243,16
44244,46
44245,52
44246,45
44247,11
44248,37
44249,3
44250,53
44251,52
44252,46
44253,30
44254,1
44255,1
44256,30
44257,36
44258,48
44259,37
44260,31
44261,4
44262,41
44263,40
44264,37
44265,30
44266,1
44267,42
44268,6
44269,5
44270,13
44271,45
44272,45
44273,54
44274,48
44275,2
44276,1
44277,2
44278,7
44279,5
44280,2
44281,44
44282,2
44283,34
44284,2
44285,48
44286,35
44287,7
44288,3
44289,21
44290,2
44291,45
44292,21
44293,1
44294,1
44295,2
44296,44
44297,1
44298,43
44299,1
44300,31
44301,8
44302,40
44303,45
44304,28
44305,7
44306,2
44307,34
44308,2
44309,3
44310,3
44311,42
44312,2
44313,3
44314,2
44315,36
44316,1
44317,2
44318,37
44319,7
44320,42
44321,1
44322,1
44323,30
44324,13
44325,4
44326,5
44327,4
44328,52
44329,48
44330,3
44331,1
44332,1
44333,1
44334,4
44335,37
44336,30
44337,1
44338,29
44339,37
44340,2
44341,2
44342,36
44343,10
44344,44
44345,1
44346,33
44347,43
44348,5
44349,33
44350,9
44351,38
44352,42
44353,1
44354,3
44355,3
44356,1
44357,36
44358,45
44359,4
44360,24
44361,1
44362,8
44363,29
44364,3
44365,10
44366,48
44367,2
44368,41
44369,34
44370,34
44371,1
44372,30
44373,1
44374,41
44375,32
44376,6
44377,3
44378,3
44379,3
44380,47
44381,42
44382,2
44383,1
44384,42
44385,4
44386,26
44387,2
44388,1
44389,2
44390,33
44391,38
44392,30
44393,1
44394,2
44395,57
44396,1
44397,1
44398,42
44399,3
44400,14
44401,57
44402,3
44403,1
44404,6
44405,31
44406,50
44407,4
44408,25
44409,2
44410,6
44411,1
44412,2
44413,2
44414,46
44415,1
44416,40
44417,3
44418,39
44419,46
44420,8
44421,2
44422,40
44423,35
44424,4
44425,4
44426,5
44427,31
44428,4
44429,1
44430,41
44431,1
44432,2
44433,48
44434,49
44435,26
44436,3
44437,1
44438,2
44439,37
44440,46
44441,42
44442,1
44443,1
44444,31
44445,36
44446,3
44447,1
44448,42
44449,57
44450,37
44451,8
44452,1
44453,21
44454,25
44455,35
44456,54
44457,45
44458,5
44459,1
44460,1
44461,3
44462,32
44463,26
44464,10
44465,2
44466,27
44467,2
44468,11
44469,34
44470,2
44471,26
44472,2
44473,4
44474,45
44475,9
44476,34
44477,1
44478,5
44479,35
44480,31
44481,7
44482,3
44483,44
44484,2
44485,3
44486,40
44487,54
44488,43
44489,5
44490,7
44491,1
44492,1
44493,4
44494,36
44495,31
44496,34
44497,2
44498,19
44499,30
44500,4
44501,42
44502,46
44503,1
44504,39
44505,5
44506,10
44507,32
44508,3
44509,1
44510,8
44511,43
44512,34
44513,40
44514,42
44515,5
44516,16
44517,40
44518,1
44519,38
44520,38
44521,44
44522,2
44523,12
44524,24
44525,1
44526,8
44527,6
44528,13
44529,39
44530,1
44531,1
44532,35
44533,39
44534,4
44535,2
44536,35
44537,41
44538,1
44539,4
44540,37
44541,1
44542,1
44543,49
44544,9
44545,8
44546,28
44547,4
44548,27
44549,44
44550,35
44551,33
44552,5
44553,3
44554,28
44555,35
44556,1
44557,46
44558,35
44559,2
44560,5
44561,28
44562,4
44563,40
44564,3
44565,55
44566,62
44567,53
44568,2
44569,3
44570,2
44571,35
44572,2
44573,55
44574,42
44575,6
44576,8
44577,2
44578,5
44579,1
44580,46
44581,2
44582,2
44583,1
44584,5
44585,35
44586,1
44587,4
44588,2
44589,3
44590,35
44591,4
44592,5
44593,27
44594,1
44595,33
44596,1
44597,35
44598,12
44599,27
44600,27
44601,4
44602,5
44603,25
44604,2
44605,42
44606,3
44607,2
44608,12
44609,5
44610,3
44611,59
44612,7
44613,14
44614,56
44615,34
44616,5
44617,39
44618,46
44619,8
44620,1
44621,40
44622,39
44623,3
44624,9
44625,31
44626,1
44627,43
44628,1
44629,31
44630,11
44631,15
44632,32
44633,35
44634,28
44635,4
44636,8
44637,46
44638,3
44639,1
44640,60
44641,51
44642,39
44643,6
44644,4
44645,52
44646,3
44647,1
44648,39
44649,49
44650,1
44651,57
44652,32
44653,5
44654,13
44655,35
44656,10
44657,29
44658,50
44659,5
44660,37
44661,43
44662,12
44663,44
44664,5
44665,2
44666,1
44667,2
44668,1
44669,50
44670,10
44671,24
44672,1
44673,40
44674,31
44675,2
44676,5
44677,1
44678,46
44679,33
44680,38
44681,1
44682,24
44683,1
44684,5
44685,1
44686,6
44687,9
44688,27
44689,3
44690,2
44691,52
44692,1
44693,42
44694,5
44695,17
44696,27
44697,2
44698,3
44699,29
44700,55
44701,41
44702,2
44703,16
44704,2
44705,38
44706,2
44707,33
44708,38
44709,31
44710,5
44711,13
44712,48
44713,2
44714,41
44715,1
44716,34
44717,38
44718,3
44719,29
44720,1
44721,5
44722,2
44723,55
44724,43
44725,2
44726,10
44727,37
44728,2
44729,4
44730,2
44731,52
44732,5
44733,2
44734,4
44735,1
44736,45
44737,6
44738,3
44739,2
44740,4
44741,11
44742,52
44743,14
44744,1
44745,59
44746,42
44747,8
44748,17
44749,39
44750,7
44751,1
44752,45
44753,3
44754,1
44755,44
44756,8
44757,53
44758,40
44759,31
44760,43
44761,2
44762,7
44763,43
44764,1
44765,7
44766,31
44767,45
44768,5
44769,31
44770,2
44771,38
44772,4
44773,44
44774,1
44775,5
44776,10
44777,1
44778,4
44779,41
44780,1
44781,6
44782,32
44783,1
44784,1
44785,7
44786,54
44787,1
44788,48
44789,6
44790,1
44791,31
44792,46
44793,56
44794,43
44795,4
44796,18
44797,28
44798,3
44799,2
44800,31
44801,2
44802,50
44803,2
44804,1
44805,14
44806,32
44807,29
44808,1
44809,34
44810,42
44811,1
44812,34
44813,6
44814,39
44815,33
44816,1
44817,48
44818,6
44819,44
44820,1
44821,35
44822,3
44823,1
44824,56
44825,3
44826,5
44827,1
44828,48
44829,52
44830,7
44831,41
44832,3
44833,30
44834,14
44835,33
44836,46
44837,4
44838,38
44839,2
44840,39
44841,2
44842,35
44843,48
44844,4
44845,29
44846,2
44847,35
44848,33
44849,40
44850,3
44851,23
44852,1
44853,9
44854,33
44855,4
44856,29
44857,1
44858,1
44859,42
44860,3
44861,2
44862,43
44863,47
44864,2
44865,47
44866,1
44867,42
44868,4
44869,32
44870,44
44871,2
44872,3
44873,4
44874,55
44875,46
44876,3
44877,12
44878,51
44879,1
44880,2
44881,43
44882,36
44883,41
44884,2
44885,11
44886,3
44887,10
44888,26
44889,37
44890,3
44891,40
44892,40
44893,38
44894,4
44895,30
44896,39
44897,3
44898,2
44899,34
44900,1
44901,24
44902,6
44903,45
44904,1
44905,50
44906,38
44907,36
44908,7
44909,46
44910,2
44911,27
44912,4
44913,3
44914,1
44915,43
44916,1
44917,2
44918,10
44919,46
44920,3
44921,3
44922,1
44923,47
44924,1
44925,35
44926,2
44927,44
44928,2
44929,1
44930,48
44931,50
44932,6
44933,35
44934,3
44935,48
44936,12
44937,30
44938,4
44939,42
44940,2
44941,31
44942,3
44943,28
44944,4
44945,9
44946,35
44947,30
44948,2
44949,1
44950,58
44951,1
44952,38
44953,1
44954,32
44955,40
44956,1
44957,1
44958,28
44959,26
44960,34
44961,1
44962,58
44963,2
44964,1
44965,5
44966,2
44967,35
44968,4
44969,42
44970,3
44971,50
44972,1
44973,3
44974,2
44975,26
44976,43
44977,1
44978,2
44979,38
44980,3
44981,33
44982,1
44983,4
44984,42
44985,5
44986,3
44987,31
44988,1
44989,38
