,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
8010,3,2013-02-12,44.0,30.0,37.0,31.0,35.0,28.0,0.0,714.0,1800.0,RA SN BR,0.1,0.25,29.3,30.05,7.1,36.0,7.7
8011,4,2013-02-12,71.0,50.0,61.0,45.0,52.0,4.0,0.0,714.0,1816.0,RA BR,0.0,0.01,29.22,29.92,3.9,32.0,5.4
8013,6,2013-02-12,72.0,51.0,62.0,46.0,52.0,3.0,0.0,713.0,1816.0,DZ BR,0.0,0.02,29.38,29.9,6.2,34.0,7.2
8021,14,2013-02-12,42.0,33.0,38.0,30.0,34.0,27.0,0.0,720.0,1808.0,RA DZ SN FG BR,3.5,0.62,28.63,30.03,10.6,2.0,12.2
8022,15,2013-02-12,42.0,27.0,35.0,27.0,32.0,30.0,0.0,648.0,1713.0,BR,0.0,0.0,29.27,29.68,7.8,28.0,8.4
8025,18,2013-02-12,51.0,43.0,47.0,43.0,46.0,18.0,0.0,714.0,1809.0,RA DZ BR,0.0,0.4,29.41,29.94,4.4,35.0,7.5
8026,19,2013-02-12,29.0,22.0,26.0,18.0,23.0,39.0,0.0,653.0,1719.0,moderate,0.0,0.0,29.23,29.99,9.6,26.0,10.3
8029,2,2013-02-13,39.0,28.0,34.0,20.0,28.0,31.0,0.0,647.0,1717.0,SN,0.0,0.0,28.69,29.79,5.5,30.0,7.4
8031,4,2013-02-13,64.0,40.0,52.0,34.0,43.0,13.0,0.0,713.0,1817.0,moderate,0.0,0.0,29.39,30.1,5.1,33.0,6.5
8033,6,2013-02-13,64.0,36.0,50.0,34.0,42.0,15.0,0.0,713.0,1817.0,moderate,0.0,0.0,29.56,30.09,7.5,35.0,9.0
8038,11,2013-02-13,80.0,58.0,69.0,62.0,65.0,0.0,4.0,709.0,1813.0,TS TSRA RA,0.0,0.05,29.8,29.85,9.6,24.0,10.8
8041,14,2013-02-13,54.0,31.0,43.0,30.0,36.0,22.0,0.0,719.0,1809.0,FG+ BR HZ,0.0,0.0,28.63,30.04,5.8,25.0,6.9
8042,15,2013-02-13,39.0,22.0,31.0,20.0,28.0,34.0,0.0,647.0,1714.0,moderate,0.0,0.0,29.41,29.79,3.6,30.0,3.8
8045,18,2013-02-13,58.0,40.0,49.0,34.0,41.0,16.0,0.0,713.0,1810.0,moderate,0.0,0.0,29.55,30.08,3.3,30.0,7.4
8046,19,2013-02-13,41.0,21.0,31.0,24.0,28.0,34.0,0.0,652.0,1720.0,BR HZ,0.0,0.0,28.98,29.78,6.9,23.0,7.2
8050,3,2013-02-14,60.0,36.0,48.0,29.0,40.0,17.0,0.0,712.0,1802.0,moderate,0.0,0.0,29.36,30.07,5.5,32.0,8.8
8051,4,2013-02-14,72.0,37.0,55.0,34.0,45.0,10.0,0.0,712.0,1818.0,moderate,0.0,0.0,29.36,30.08,2.8,17.0,3.6
8053,6,2013-02-14,71.0,29.0,50.0,34.0,43.0,15.0,0.0,712.0,1817.0,moderate,0.0,0.0,29.54,30.08,5.4,19.0,6.1
8058,11,2013-02-14,58.0,45.0,52.0,46.0,49.0,13.0,0.0,708.0,1814.0,RA BR,0.0,0.17,29.97,30.03,4.1,31.0,4.6
8062,15,2013-02-14,41.0,19.0,30.0,19.0,25.0,35.0,0.0,646.0,1715.0,moderate,0.0,0.0,29.46,29.88,0.9,34.0,1.2
8065,18,2013-02-14,69.0,40.0,55.0,34.0,45.0,10.0,0.0,712.0,1811.0,moderate,0.0,0.0,29.54,30.05,2.7,17.0,3.3
8069,2,2013-02-15,48.0,25.0,37.0,27.0,33.0,28.0,0.0,644.0,1720.0,SN FG+ FZFG BR,0.0,0.0,28.83,29.95,9.9,23.0,10.4
8070,3,2013-02-15,45.0,28.0,37.0,18.0,30.0,28.0,0.0,711.0,1803.0,moderate,0.0,0.0,29.61,30.35,10.2,34.0,11.3
8078,11,2013-02-15,66.0,36.0,51.0,41.0,45.0,14.0,0.0,707.0,1815.0,BR,0.0,0.0,30.01,30.05,2.0,6.0,3.0
8082,15,2013-02-15,48.0,15.0,32.0,22.0,28.0,33.0,0.0,644.0,1717.0,BR HZ,0.0,0.0,29.55,29.94,1.9,23.0,3.4
8085,18,2013-02-15,55.0,38.0,47.0,25.0,39.0,18.0,0.0,711.0,1812.0,moderate,0.0,0.0,29.8,30.29,10.8,1.0,11.3
8086,19,2013-02-15,30.0,16.0,23.0,10.0,19.0,42.0,0.0,649.0,1723.0,SN,0.4,0.02,29.39,30.14,10.3,31.0,10.6
8089,2,2013-02-16,38.0,25.0,32.0,22.0,29.0,33.0,0.0,643.0,1721.0,SN BR,1.8,0.08,28.77,29.86,8.3,35.0,8.7
8091,4,2013-02-16,66.0,35.0,51.0,26.0,40.0,14.0,0.0,710.0,1819.0,moderate,0.0,0.0,29.61,30.34,2.0,30.0,4.2
8093,6,2013-02-16,67.0,28.0,48.0,26.0,40.0,17.0,0.0,710.0,1819.0,moderate,0.0,0.0,29.78,30.33,2.5,30.0,5.8
8102,15,2013-02-16,38.0,25.0,32.0,20.0,28.0,33.0,0.0,643.0,1718.0,SN BR,1.1,0.03,29.52,29.89,5.6,33.0,5.8
8105,18,2013-02-16,56.0,33.0,45.0,25.0,37.0,20.0,0.0,710.0,1813.0,moderate,0.0,0.0,29.77,30.31,2.1,17.0,4.1
8106,19,2013-02-16,20.0,9.0,15.0,2.0,12.0,50.0,0.0,648.0,1724.0,moderate,0.0,0.0,29.39,30.17,8.9,31.0,9.3
8109,2,2013-02-17,25.0,12.0,19.0,4.0,15.0,46.0,0.0,641.0,1722.0,SN UP BLSN,2.2,0.09,28.43,29.54,20.9,31.0,21.9
8110,3,2013-02-17,70.0,29.0,50.0,28.0,41.0,15.0,0.0,709.0,1805.0,moderate,0.0,0.0,29.15,29.93,13.7,17.0,14.3
8111,4,2013-02-17,72.0,39.0,56.0,35.0,46.0,9.0,0.0,710.0,1820.0,moderate,0.0,0.0,29.37,30.11,5.0,18.0,5.7
8113,6,2013-02-17,71.0,32.0,52.0,36.0,46.0,13.0,0.0,709.0,1820.0,moderate,0.0,0.0,29.54,30.11,11.6,18.0,12.1
8118,11,2013-02-17,52.0,26.0,39.0,16.0,31.0,26.0,0.0,705.0,1816.0,moderate,0.0,0.0,30.22,30.28,6.0,30.0,6.8
8121,14,2013-02-17,71.0,32.0,52.0,28.0,41.0,13.0,0.0,715.0,1813.0,moderate,0.0,0.0,28.46,29.89,15.7,18.0,16.0
8122,15,2013-02-17,25.0,13.0,19.0,4.0,15.0,46.0,0.0,641.0,1719.0,SN BR UP BLSN,0.6,0.03,29.17,29.55,20.8,31.0,21.9
8125,18,2013-02-17,72.0,38.0,55.0,31.0,45.0,10.0,0.0,709.0,1813.0,moderate,0.0,0.0,29.47,30.03,13.6,17.0,14.2
8126,19,2013-02-17,29.0,8.0,19.0,4.0,15.0,46.0,0.0,646.0,1725.0,moderate,0.0,0.0,29.36,30.16,3.2,19.0,6.0
8129,2,2013-02-18,26.0,10.0,18.0,-2.0,13.0,47.0,0.0,640.0,1723.0,moderate,0.0,0.0,28.79,29.98,20.7,28.0,21.2
8130,3,2013-02-18,63.0,35.0,49.0,36.0,45.0,16.0,0.0,708.0,1806.0,moderate,0.0,0.0,29.11,29.8,7.4,24.0,19.6
8131,4,2013-02-18,83.0,58.0,71.0,44.0,55.0,0.0,6.0,709.0,1821.0,moderate,0.0,0.0,29.24,29.92,2.5,23.0,8.6
8133,6,2013-02-18,83.0,53.0,68.0,46.0,56.0,0.0,3.0,708.0,1821.0,moderate,0.0,0.0,29.41,29.92,6.9,21.0,14.7
8138,11,2013-02-18,60.0,24.0,42.0,29.0,37.0,23.0,0.0,705.0,1817.0,moderate,0.0,0.0,30.32,30.35,2.4,9.0,3.7
8141,14,2013-02-18,58.0,36.0,47.0,33.0,43.0,18.0,0.0,714.0,1814.0,moderate,0.0,0.0,28.5,29.83,6.6,28.0,19.7
8142,15,2013-02-18,28.0,12.0,20.0,-1.0,15.0,45.0,0.0,640.0,1720.0,moderate,0.0,0.0,29.5,29.94,15.5,30.0,16.2
8145,18,2013-02-18,78.0,52.0,65.0,41.0,52.0,0.0,0.0,708.0,1814.0,moderate,0.0,0.0,29.38,29.88,7.3,23.0,16.9
8149,2,2013-02-19,43.0,20.0,32.0,23.0,30.0,33.0,0.0,638.0,1725.0,RA BR,0.0,0.28,28.85,29.92,9.5,22.0,11.1
8150,3,2013-02-19,51.0,26.0,39.0,23.0,33.0,26.0,0.0,707.0,1807.0,moderate,0.0,0.0,29.54,30.25,3.2,36.0,5.5
8151,4,2013-02-19,70.0,46.0,58.0,29.0,45.0,7.0,0.0,708.0,1822.0,moderate,0.0,0.0,29.47,30.16,2.9,8.0,5.9
8161,14,2013-02-19,55.0,30.0,43.0,22.0,36.0,22.0,0.0,713.0,1815.0,moderate,0.0,0.0,28.82,30.21,5.8,9.0,7.0
8162,15,2013-02-19,41.0,10.0,26.0,16.0,25.0,39.0,0.0,638.0,1722.0,RA FG+ BR,0.0,0.12,29.59,29.93,2.2,13.0,3.0
8170,3,2013-02-20,38.0,32.0,35.0,28.0,32.0,30.0,0.0,705.0,1808.0,RA SN PL FG+ BR,3.2,0.58,29.41,30.18,6.7,8.0,7.2
8171,4,2013-02-20,63.0,53.0,58.0,46.0,52.0,7.0,0.0,707.0,1822.0,RA BR,0.0,0.04,29.16,29.91,7.2,12.0,8.1
8173,6,2013-02-20,63.0,53.0,58.0,46.0,52.0,7.0,0.0,706.0,1822.0,RA DZ BR,0.0,0.03,29.33,29.9,9.1,12.0,9.6
8178,11,2013-02-20,68.0,40.0,54.0,36.0,45.0,11.0,0.0,703.0,1819.0,FG+,0.0,0.0,30.1,30.13,2.3,32.0,4.5
8181,14,2013-02-20,44.0,33.0,39.0,32.0,34.0,26.0,0.0,711.0,1816.0,RA DZ SN BR,1.8,0.48,28.63,30.07,15.3,12.0,15.8
8182,15,2013-02-20,35.0,23.0,29.0,18.0,26.0,36.0,0.0,637.0,1723.0,BR,0.0,0.03,29.22,29.62,10.8,28.0,11.1
8185,18,2013-02-20,54.0,42.0,48.0,36.0,41.0,17.0,0.0,706.0,1816.0,RA,0.0,0.14,29.45,30.02,13.7,9.0,14.1
8186,19,2013-02-20,22.0,7.0,15.0,5.0,13.0,50.0,0.0,642.0,1729.0,moderate,0.0,0.0,29.55,30.3,10.0,31.0,10.9
8191,4,2013-02-21,79.0,52.0,66.0,38.0,54.0,0.0,1.0,706.0,1823.0,RA BR,0.0,0.01,29.05,29.74,1.8,26.0,7.0
8193,6,2013-02-21,79.0,42.0,61.0,41.0,54.0,4.0,0.0,705.0,1823.0,RA DZ BR HZ,0.0,0.01,29.21,29.73,3.7,26.0,10.5
8198,11,2013-02-21,70.0,37.0,54.0,43.0,49.0,11.0,0.0,702.0,1819.0,moderate,0.0,0.0,30.06,30.1,3.5,8.0,3.8
8201,14,2013-02-21,37.0,24.0,31.0,30.0,32.0,34.0,0.0,710.0,1817.0,TS TSRA RA DZ FZRA PL BR,0.8,0.74,28.41,29.8,3.6,1.0,12.4
8202,15,2013-02-21,27.0,19.0,23.0,10.0,19.0,42.0,0.0,635.0,1724.0,moderate,0.0,0.0,29.47,29.91,12.4,31.0,13.1
8205,18,2013-02-21,69.0,44.0,57.0,37.0,46.0,8.0,0.0,705.0,1817.0,RA BR,0.0,0.19,29.23,29.75,1.3,5.0,11.2
8209,2,2013-02-22,36.0,21.0,29.0,17.0,25.0,36.0,0.0,634.0,1728.0,moderate,0.0,0.0,29.18,30.32,2.8,3.0,8.3
8210,3,2013-02-22,37.0,20.0,29.0,19.0,25.0,36.0,0.0,703.0,1810.0,moderate,0.0,0.0,29.38,30.11,7.9,29.0,8.3
8211,4,2013-02-22,60.0,43.0,52.0,33.0,43.0,13.0,0.0,705.0,1824.0,moderate,0.0,0.0,29.31,29.99,5.5,1.0,6.8
8213,6,2013-02-22,58.0,41.0,50.0,35.0,43.0,15.0,0.0,704.0,1824.0,moderate,0.0,0.0,29.47,29.98,13.1,1.0,13.5
8218,11,2013-02-22,80.0,59.0,70.0,62.0,64.0,0.0,5.0,701.0,1820.0,BR,0.0,0.01,30.01,30.05,2.3,13.0,5.0
8221,14,2013-02-22,36.0,21.0,29.0,18.0,25.0,36.0,0.0,709.0,1818.0,moderate,0.0,0.0,28.69,30.1,9.8,33.0,10.1
8222,15,2013-02-22,39.0,7.0,23.0,16.0,23.0,42.0,0.0,634.0,1726.0,moderate,0.0,0.0,29.93,30.34,0.6,13.0,1.9
8225,18,2013-02-22,50.0,33.0,42.0,25.0,35.0,23.0,0.0,703.0,1818.0,moderate,0.0,0.0,29.55,30.06,7.5,35.0,8.0
8230,3,2013-02-23,45.0,20.0,33.0,20.0,28.0,32.0,0.0,702.0,1811.0,moderate,0.0,0.0,29.29,30.04,0.4,15.0,3.3
8231,4,2013-02-23,72.0,41.0,57.0,30.0,44.0,8.0,0.0,704.0,1825.0,moderate,0.0,0.0,29.26,29.98,2.1,36.0,4.3
8233,6,2013-02-23,72.0,35.0,54.0,32.0,43.0,11.0,0.0,703.0,1824.0,moderate,0.0,0.0,29.43,29.97,5.5,1.0,6.8
8238,11,2013-02-23,83.0,62.0,73.0,63.0,65.0,0.0,8.0,660.0,1821.0,RA BR,0.0,0.51,29.9,29.92,7.4,22.0,9.6
8241,14,2013-02-23,47.0,22.0,35.0,22.0,29.0,30.0,0.0,708.0,1819.0,moderate,0.0,0.0,28.57,30.01,1.8,17.0,5.8
8242,15,2013-02-23,35.0,26.0,31.0,27.0,30.0,34.0,0.0,632.0,1727.0,SN BR,0.8,0.11,29.8,30.16,2.0,12.0,2.3
8245,18,2013-02-23,56.0,34.0,45.0,26.0,37.0,20.0,0.0,702.0,1819.0,moderate,0.0,0.0,29.47,30.01,2.4,2.0,4.3
8249,2,2013-02-24,32.0,30.0,31.0,30.0,31.0,34.0,0.0,631.0,1731.0,FZRA SN FG BR,6.1,0.9,28.67,29.79,9.5,2.0,9.8
8250,3,2013-02-24,60.0,26.0,43.0,31.0,38.0,22.0,0.0,701.0,1812.0,moderate,0.0,0.0,29.13,29.88,8.1,13.0,8.9
8251,4,2013-02-24,76.0,39.0,58.0,44.0,51.0,7.0,0.0,703.0,1825.0,moderate,0.0,0.0,29.05,29.8,6.2,15.0,7.0
8258,11,2013-02-24,75.0,59.0,67.0,54.0,58.0,0.0,2.0,659.0,1822.0,BR,0.0,0.14,29.89,29.94,1.8,11.0,5.1
8261,14,2013-02-24,64.0,29.0,47.0,32.0,40.0,18.0,0.0,707.0,1820.0,moderate,0.0,0.0,28.39,29.8,14.0,14.0,15.3
8262,15,2013-02-24,33.0,29.0,31.0,30.0,31.0,34.0,0.0,631.0,1728.0,SN FG+ FG BR,13.1,0.97,29.46,29.84,4.7,1.0,4.9
8265,18,2013-02-24,72.0,37.0,55.0,34.0,46.0,10.0,0.0,701.0,1819.0,moderate,0.0,0.0,29.25,29.81,11.2,14.0,11.6
8266,19,2013-02-24,39.0,19.0,29.0,21.0,25.0,36.0,0.0,636.0,1734.0,moderate,0.0,0.0,29.33,30.08,0.9,27.0,4.2
8271,4,2013-02-25,65.0,47.0,56.0,33.0,46.0,9.0,0.0,702.0,1826.0,BR,0.0,0.01,29.01,29.68,10.7,29.0,12.8
8278,11,2013-02-25,66.0,57.0,62.0,59.0,59.0,3.0,0.0,658.0,1822.0,TSRA RA BR,0.0,3.2,29.88,29.9,9.2,6.0,11.3
8281,14,2013-02-25,51.0,33.0,42.0,35.0,36.0,23.0,0.0,705.0,1821.0,RA DZ SN BR,0.2,0.8,28.22,29.61,17.4,36.0,19.0
8282,15,2013-02-25,37.0,21.0,29.0,29.0,30.0,36.0,0.0,629.0,1730.0,SN FG+ FZFG BR,0.2,0.01,29.67,30.1,0.6,29.0,1.1
8285,18,2013-02-25,61.0,42.0,52.0,37.0,45.0,13.0,0.0,700.0,1820.0,RA,0.0,0.03,29.04,29.56,6.7,26.0,14.8
8286,19,2013-02-25,38.0,19.0,29.0,23.0,27.0,36.0,0.0,634.0,1735.0,BR,0.0,0.0,29.36,30.13,3.5,11.0,4.3
8289,2,2013-02-26,38.0,32.0,35.0,26.0,31.0,30.0,0.0,628.0,1733.0,UP,0.0,0.0,29.13,30.26,4.3,9.0,6.3
8290,3,2013-02-26,42.0,31.0,37.0,32.0,35.0,28.0,0.0,658.0,1814.0,RA DZ SN BR,0.4,0.14,29.04,29.74,15.0,32.0,15.3
8291,4,2013-02-26,68.0,41.0,55.0,28.0,43.0,10.0,0.0,701.0,1827.0,moderate,0.0,0.0,29.18,29.88,3.9,30.0,5.9
8293,6,2013-02-26,68.0,35.0,52.0,29.0,42.0,13.0,0.0,700.0,1827.0,moderate,0.0,0.0,29.35,29.88,4.7,30.0,7.3
8298,11,2013-02-26,79.0,58.0,69.0,59.0,63.0,0.0,4.0,656.0,1823.0,RA BR,0.0,0.59,29.68,29.73,11.4,21.0,14.2
8302,15,2013-02-26,39.0,28.0,34.0,29.0,32.0,31.0,0.0,627.0,1731.0,FG+ FZFG BR,0.0,0.0,29.9,30.28,2.2,11.0,2.4
8305,18,2013-02-26,59.0,42.0,51.0,31.0,41.0,14.0,0.0,659.0,1821.0,moderate,0.0,0.0,29.31,29.81,12.1,31.0,12.9
8309,2,2013-02-27,38.0,31.0,35.0,34.0,34.0,30.0,0.0,626.0,1735.0,RA SN FG+ FG FZFG BR UP,2.4,1.24,28.73,29.79,12.2,6.0,13.4
8310,3,2013-02-27,48.0,31.0,40.0,28.0,33.0,25.0,0.0,657.0,1815.0,BR,0.0,0.0,29.34,30.04,10.9,30.0,11.1
8311,4,2013-02-27,64.0,47.0,56.0,25.0,42.0,9.0,0.0,660.0,1828.0,moderate,0.0,0.0,29.41,30.08,5.2,34.0,7.6
8313,6,2013-02-27,65.0,33.0,49.0,26.0,41.0,16.0,0.0,659.0,1827.0,moderate,0.0,0.0,29.57,30.07,9.4,34.0,11.5
8318,11,2013-02-27,68.0,52.0,60.0,44.0,51.0,5.0,0.0,655.0,1824.0,moderate,0.0,0.0,29.86,29.91,8.5,28.0,8.8
8321,14,2013-02-27,45.0,28.0,37.0,26.0,32.0,28.0,0.0,703.0,1823.0,moderate,0.0,0.0,28.72,30.1,15.8,33.0,16.0
8322,15,2013-02-27,37.0,32.0,35.0,31.0,33.0,30.0,0.0,626.0,1732.0,RA SN BR UP,2.0,0.55,29.57,29.89,8.0,6.0,9.4
8325,18,2013-02-27,58.0,38.0,48.0,25.0,39.0,17.0,0.0,658.0,1822.0,moderate,0.0,0.0,29.59,30.07,12.2,33.0,13.1
8330,3,2013-02-28,47.0,29.0,38.0,28.0,33.0,27.0,0.0,655.0,1816.0,moderate,0.0,0.0,29.47,30.2,10.2,33.0,11.0
8331,4,2013-02-28,63.0,41.0,52.0,24.0,40.0,13.0,0.0,658.0,1828.0,moderate,0.0,0.0,29.54,30.25,5.9,35.0,6.5
8333,6,2013-02-28,63.0,34.0,49.0,26.0,38.0,16.0,0.0,658.0,1828.0,moderate,0.0,0.0,29.72,30.25,8.5,35.0,9.3
8338,11,2013-02-28,68.0,48.0,58.0,40.0,49.0,7.0,0.0,654.0,1825.0,moderate,0.0,0.0,29.88,29.92,9.2,28.0,9.6
8341,14,2013-02-28,49.0,30.0,40.0,26.0,33.0,25.0,0.0,702.0,1824.0,moderate,0.0,0.0,28.83,30.23,13.5,33.0,13.8
8345,18,2013-02-28,60.0,36.0,48.0,24.0,38.0,17.0,0.0,657.0,1823.0,moderate,0.0,0.0,29.7,30.22,11.2,34.0,11.5
8346,19,2013-02-28,34.0,26.0,30.0,25.0,29.0,35.0,0.0,629.0,1739.0,SN BR,0.1,0.01,29.21,29.95,14.1,36.0,14.4
8349,2,2013-03-01,39.0,32.0,36.0,26.0,32.0,29.0,0.0,623.0,1737.0,moderate,0.0,0.0,28.5,29.62,11.0,33.0,11.3
8350,3,2013-03-01,40.0,31.0,36.0,24.0,31.0,29.0,0.0,654.0,1817.0,moderate,0.0,0.0,29.54,30.27,11.5,34.0,11.5
8351,4,2013-03-01,70.0,37.0,54.0,24.0,41.0,11.0,0.0,657.0,1829.0,moderate,0.0,0.0,29.52,30.24,3.5,33.0,4.6
8353,6,2013-03-01,70.0,26.0,48.0,25.0,39.0,17.0,0.0,657.0,1829.0,moderate,0.0,0.0,29.69,30.24,2.9,35.0,4.7
8358,11,2013-03-01,59.0,45.0,52.0,34.0,43.0,13.0,0.0,653.0,1825.0,moderate,0.0,0.0,29.93,29.97,7.8,30.0,8.5
8361,14,2013-03-01,44.0,24.0,34.0,25.0,31.0,31.0,0.0,700.0,1825.0,BR HZ,0.0,0.0,28.87,30.28,12.2,35.0,12.3
8362,15,2013-03-01,37.0,25.0,31.0,27.0,31.0,34.0,0.0,623.0,1735.0,FG+ FZFG BR,0.0,0.0,29.23,29.62,5.8,32.0,6.1
8365,18,2013-03-01,56.0,34.0,45.0,27.0,38.0,20.0,0.0,655.0,1824.0,moderate,0.0,0.0,29.73,30.25,8.0,35.0,8.1
8369,2,2013-03-02,36.0,29.0,33.0,23.0,29.0,32.0,0.0,622.0,1738.0,moderate,0.0,0.0,28.55,29.66,10.0,31.0,10.3
8370,3,2013-03-02,47.0,24.0,36.0,20.0,30.0,29.0,0.0,653.0,1818.0,moderate,0.0,0.0,29.55,30.32,4.1,35.0,7.6
8371,4,2013-03-02,63.0,40.0,52.0,25.0,40.0,13.0,0.0,656.0,1830.0,moderate,0.0,0.0,29.62,30.34,5.8,34.0,5.9
8373,6,2013-03-02,63.0,32.0,48.0,26.0,39.0,17.0,0.0,656.0,1829.0,moderate,0.0,0.0,29.78,30.33,9.5,35.0,9.6
8378,11,2013-03-02,54.0,34.0,44.0,31.0,38.0,21.0,0.0,652.0,1826.0,moderate,0.0,0.0,29.96,30.0,9.6,29.0,10.6
8381,14,2013-03-02,51.0,22.0,37.0,23.0,31.0,28.0,0.0,659.0,1826.0,moderate,0.0,0.0,28.87,30.32,2.6,34.0,6.6
8385,18,2013-03-02,56.0,33.0,45.0,22.0,36.0,20.0,0.0,654.0,1824.0,moderate,0.0,0.0,29.79,30.33,7.9,35.0,9.5
8389,2,2013-03-03,36.0,27.0,32.0,23.0,27.0,33.0,0.0,620.0,1739.0,SN BR,0.2,0.01,28.51,29.61,11.6,30.0,11.8
8390,3,2013-03-03,64.0,28.0,46.0,26.0,38.0,19.0,0.0,651.0,1819.0,moderate,0.0,0.0,29.15,29.95,13.6,16.0,13.9
8391,4,2013-03-03,77.0,39.0,58.0,30.0,45.0,7.0,0.0,655.0,1830.0,moderate,0.0,0.0,29.36,30.11,6.6,18.0,7.3
8393,6,2013-03-03,75.0,29.0,52.0,32.0,44.0,13.0,0.0,655.0,1830.0,moderate,0.0,0.0,29.54,30.12,11.9,19.0,12.2
8398,11,2013-03-03,47.0,31.0,39.0,27.0,34.0,26.0,0.0,651.0,1827.0,moderate,0.0,0.0,30.0,30.05,9.0,29.0,9.1
8401,14,2013-03-03,71.0,31.0,51.0,30.0,41.0,14.0,0.0,658.0,1826.0,moderate,0.0,0.0,28.44,29.89,14.9,17.0,15.3
8402,15,2013-03-03,38.0,27.0,33.0,25.0,29.0,32.0,0.0,619.0,1737.0,SN BR,0.5,0.03,29.24,29.62,7.1,31.0,7.3
8405,18,2013-03-03,73.0,39.0,56.0,28.0,44.0,9.0,0.0,653.0,1825.0,moderate,0.0,0.0,29.46,30.02,15.1,17.0,15.3
8406,19,2013-03-03,29.0,13.0,21.0,11.0,18.0,44.0,0.0,625.0,1743.0,moderate,0.0,0.0,29.36,30.15,3.6,34.0,5.3
8410,3,2013-03-04,73.0,45.0,59.0,37.0,47.0,6.0,0.0,650.0,1820.0,moderate,0.0,0.0,28.96,29.66,1.7,8.0,12.1
8411,4,2013-03-04,89.0,55.0,72.0,46.0,56.0,0.0,7.0,654.0,1831.0,moderate,0.0,0.0,29.09,29.81,6.7,19.0,7.0
8413,6,2013-03-04,87.0,53.0,70.0,47.0,55.0,0.0,5.0,654.0,1831.0,moderate,0.0,0.0,29.26,29.81,13.3,20.0,13.9
8418,11,2013-03-04,63.0,29.0,46.0,29.0,39.0,19.0,0.0,650.0,1827.0,moderate,0.0,0.0,30.12,30.17,2.7,28.0,5.0
8421,14,2013-03-04,68.0,43.0,56.0,35.0,45.0,9.0,0.0,656.0,1827.0,moderate,0.0,0.0,28.33,29.67,9.3,34.0,19.7
8425,18,2013-03-04,88.0,56.0,72.0,39.0,54.0,0.0,7.0,652.0,1826.0,moderate,0.0,0.0,29.17,29.68,10.4,20.0,13.4
8429,2,2013-03-05,42.0,25.0,34.0,23.0,30.0,31.0,0.0,617.0,1742.0,moderate,0.0,0.0,28.79,29.95,8.0,33.0,9.7
8430,3,2013-03-05,50.0,30.0,40.0,24.0,35.0,25.0,0.0,649.0,1821.0,RA,0.0,0.01,29.55,30.24,15.9,32.0,16.2
8431,4,2013-03-05,68.0,46.0,57.0,22.0,44.0,8.0,0.0,653.0,1832.0,moderate,0.0,0.0,29.56,30.2,8.9,35.0,9.8
8433,6,2013-03-05,68.0,33.0,51.0,26.0,43.0,14.0,0.0,653.0,1832.0,moderate,0.0,0.0,29.72,30.19,15.6,36.0,16.8
8438,11,2013-03-05,77.0,38.0,58.0,43.0,51.0,7.0,0.0,649.0,1828.0,RA,0.0,0.0,30.03,30.06,8.4,22.0,9.9
8449,2,2013-03-06,35.0,29.0,32.0,30.0,31.0,33.0,0.0,615.0,1743.0,SN BR UP,0.7,0.11,28.92,30.04,14.8,6.0,15.4
8450,3,2013-03-06,49.0,24.0,37.0,21.0,32.0,28.0,0.0,647.0,1822.0,moderate,0.0,0.0,29.6,30.35,2.4,2.0,4.9
8451,4,2013-03-06,66.0,40.0,53.0,18.0,40.0,12.0,0.0,652.0,1832.0,moderate,0.0,0.0,29.61,30.31,1.4,9.0,4.4
8453,6,2013-03-06,64.0,31.0,48.0,22.0,38.0,17.0,0.0,651.0,1832.0,moderate,0.0,0.0,29.78,30.31,5.1,2.0,5.8
8458,11,2013-03-06,65.0,43.0,54.0,33.0,43.0,11.0,0.0,648.0,1829.0,moderate,0.0,0.06,29.95,30.02,14.3,30.0,15.4
8461,14,2013-03-06,52.0,26.0,39.0,20.0,33.0,26.0,0.0,654.0,1829.0,moderate,0.0,0.0,28.89,30.32,3.5,11.0,6.0
8465,18,2013-03-06,62.0,37.0,50.0,18.0,38.0,15.0,0.0,649.0,1827.0,moderate,0.0,0.0,29.79,30.31,2.7,6.0,5.2
8469,2,2013-03-07,31.0,27.0,29.0,26.0,28.0,36.0,0.0,613.0,1744.0,SN FZFG BR,7.2,0.44,28.9,30.02,17.1,3.0,17.3
8470,3,2013-03-07,66.0,33.0,50.0,27.0,41.0,15.0,0.0,646.0,1823.0,FU,0.0,0.0,29.41,30.16,11.4,15.0,11.8
8471,4,2013-03-07,74.0,43.0,59.0,40.0,50.0,6.0,0.0,651.0,1833.0,moderate,0.0,0.0,29.45,30.18,5.0,16.0,5.5
8473,6,2013-03-07,75.0,32.0,54.0,41.0,49.0,11.0,0.0,650.0,1833.0,moderate,0.0,0.0,29.62,30.18,8.0,16.0,8.2
8478,11,2013-03-07,64.0,34.0,49.0,34.0,41.0,16.0,0.0,646.0,1829.0,BR,0.0,0.0,30.16,30.2,2.3,33.0,4.1
8481,14,2013-03-07,71.0,36.0,54.0,24.0,41.0,11.0,0.0,652.0,1830.0,moderate,0.0,0.0,28.68,30.09,16.2,17.0,17.2
8482,15,2013-03-07,34.0,30.0,32.0,26.0,29.0,33.0,0.0,613.0,1742.0,SN BR,2.3,0.1,29.73,30.11,11.1,1.0,11.5
